steps	solves_per_ep	drop_rate	mean_return
4999960	0.22	0.08	1.64
9999920	0.24	0.06	1.97
14999880	0.12	0.08	0.63
19999840	0.20	0.16	0.92
24999800	0.18	0.18	0.52
29999760	0.18	0.28	0.16
34999720	0.24	0.30	0.68
39999680	0.22	0.12	1.43
44999640	0.12	0.40	-1.18
49999600	0.16	0.22	0.18
54999560	0.08	0.30	-1.03
59999520	0.12	0.08	0.60
64999480	0.28	0.18	1.75
69999440	0.24	0.14	1.53
74999400	0.22	0.16	1.03
79999360	0.10	0.14	0.01
84999320	0.16	0.18	0.47
89999280	0.06	0.28	-1.11
94999240	0.20	0.16	1.05
99999200	0.16	0.00	1.52
